股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600008,首创股份,2019-05-17,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.550000,3.600000,3.470000,3.480000,26.007398,3.480000,-0.027933,15287474.000000,53918129.000000,0.003171,16775737148.040001,19785359760.360001,0.000000,0.000000,27.145086,1.187832,8.469214,1.308763,3.518000,3.536000,3.830500,3.981000,4.018000,1日、5日均线死叉；1日、10日均线死叉；,-0.175227,-0.146265,-0.057924,,24.921968,19.494628,35.776647,,3.868500,4.560754,3.176246,41.666667,40.277778,29.715629,29.786637,36.823706,0.036313,0.948789
sh600008,首创股份,2019-05-16,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.570000,3.590000,3.540000,3.580000,26.754737,3.580000,0.002801,12795110.000000,45679431.000000,0.002654,17257798560.340000,20353904581.060001,0.000000,0.000000,27.925117,1.221965,8.712582,1.346371,3.526000,3.579000,3.868500,4.006667,4.020667,1日、10日均线金叉；30日、60日均线死叉；,-0.173640,-0.139025,-0.069230,,23.589848,16.780958,37.207629,,3.899000,4.579209,3.218791,50.000000,37.500000,39.520956,33.947929,39.283611,0.014006,0.733989
sh600008,首创股份,2019-05-15,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.500000,3.570000,3.500000,3.570000,26.680004,3.570000,0.022923,16797231.000000,59540568.000000,0.003484,17209592419.110001,20297050098.990002,0.000000,0.000000,27.847114,1.218552,8.688245,1.342610,3.498000,3.611000,3.899000,4.026333,4.019833,1日、5日均线金叉；,-0.179269,-0.130371,-0.097797,,17.384772,13.376513,25.401291,,3.932500,4.596750,3.268250,41.666667,34.722222,37.810900,33.091084,38.892408,0.020057,0.870918
sh600008,首创股份,2019-05-14,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.450000,3.510000,3.430000,3.490000,26.082132,3.490000,0.005764,17521877.000000,61077291.000000,0.003635,16823943289.270000,19842214242.430000,0.000000,0.000000,27.223089,1.191245,8.493551,1.312524,3.492000,3.657000,3.932500,4.041667,4.019500,,-0.182830,-0.118146,-0.129366,,11.421986,11.372383,11.521192,金叉,3.970000,4.604334,3.335666,41.666667,34.722222,23.365141,26.056881,35.717000,0.023055,0.844153
sh600008,首创股份,2019-05-13,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.470000,3.500000,3.450000,3.470000,25.932665,3.470000,-0.014205,18161397.000000,63021748.000000,0.003767,16727531006.809999,19728505278.290001,0.000000,0.000000,27.067083,1.184419,8.444877,1.305002,3.518000,3.710000,3.970000,4.061333,4.020167,,-0.176569,-0.101976,-0.149186,,10.314798,11.347582,8.249229,,4.010000,4.604464,3.415536,33.333333,36.111111,19.467931,24.231425,34.906603,0.014205,0.808661
sh600008,首创股份,2019-05-10,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.470000,3.520000,3.400000,3.520000,26.306334,3.520000,0.023256,21885787.000000,76198007.000000,0.004540,16968561712.959999,20012777688.639999,0.000000,0.000000,27.457098,1.201485,8.566561,1.323806,3.554000,3.780000,4.010000,4.079667,4.020333,20日、60日均线死叉；,-0.163973,-0.083327,-0.161291,,10.325138,11.863974,7.247464,,4.050500,4.606292,3.494708,33.333333,38.888889,21.774904,25.684529,35.993743,0.034884,0.832979
sh600008,首创股份,2019-05-09,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.510000,3.550000,3.420000,3.440000,25.708463,3.440000,-0.028249,22067793.000000,76764934.000000,0.004578,16582912583.120001,19557941832.080002,0.000000,0.000000,26.833073,1.174179,8.371867,1.293719,3.632000,3.840000,4.050500,4.101000,4.019000,,-0.150602,-0.063166,-0.174872,,7.795399,12.633392,-1.880589,,4.093000,4.578933,3.607067,25.000000,40.277778,7.095916,18.517962,32.783870,0.036723,0.864068
sh600008,首创股份,2019-05-08,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.530000,3.600000,3.500000,3.540000,26.455802,3.540000,-0.022099,24146895.000000,85822229.000000,0.005009,17064973995.420000,20126486652.779999,0.000000,0.000000,27.613105,1.208312,8.615235,1.331328,3.724000,3.921000,4.093000,4.129000,4.018167,,-0.123200,-0.041307,-0.163785,,10.377309,15.052389,1.027147,,4.134500,4.561560,3.707440,33.333333,43.055556,8.819945,20.818342,34.879231,0.027624,0.916432
sh600008,首创股份,2019-05-07,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.650000,3.690000,3.530000,3.620000,27.053673,3.620000,-0.008219,26031096.000000,93922534.000000,0.005400,17450623125.259998,20581322509.340000,0.000000,0.000000,28.237129,1.235618,8.809929,1.361414,3.822000,3.996000,4.134500,4.152333,4.014500,10日、60日均线死叉；20日、30日均线死叉；,-0.096614,-0.020834,-0.151561,,12.899296,17.389930,3.918029,,4.172500,4.544274,3.800726,41.666667,43.055556,10.524666,22.904930,36.676413,0.043836,1.009164
sh600008,首创股份,2019-05-06,环保行业,雄安新区；海水淡化；固废处理；污水处理；节能环保,北京市,3.900000,3.900000,3.520000,3.650000,27.277875,3.650000,-0.066496,37239036.000000,137240262.000000,0.007725,17595241548.950001,20751885955.549999,0.000000,0.000000,28.471139,1.245858,8.882940,1.372697,3.902000,4.063000,4.172500,4.170333,4.010000,5日、60日均线死叉；,-0.069422,-0.001889,-0.135066,,13.098944,19.635246,0.026340,,4.203500,4.496595,3.910405,50.000000,43.055556,11.201221,23.722244,37.368367,0.097187,1.427692
