股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600004,白云机场,2019-05-17,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,16.440000,16.790000,16.100000,16.190000,41.482423,16.190000,-0.023522,15742497.000000,258772014.000000,0.007608,33502299105.470001,33502299121.660000,0.000000,0.000000,23.416257,3.298709,10.668160,2.132676,16.250000,15.925000,15.196000,14.949000,14.231167,1日、5日均线死叉；,0.562060,0.468606,0.186908,,76.426774,74.835827,79.608667,,15.101500,16.863137,13.339863,58.333333,66.666667,57.389691,59.697223,60.539270,0.041616,0.890471
sh600004,白云机场,2019-05-16,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.950000,16.680000,15.900000,16.580000,42.481691,16.580000,0.031095,16277011.000000,265329180.000000,0.007866,34309334105.540001,34309334122.119999,0.000000,0.000000,23.980330,3.378171,10.925145,2.184050,16.264000,15.830000,15.101500,14.909667,14.173500,,0.565813,0.445242,0.241142,,78.791104,74.040354,88.292604,,14.975000,16.618970,13.331030,66.666667,68.055556,66.446984,64.907961,63.654436,0.048507,0.830426
sh600004,白云机场,2019-05-15,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.900000,16.360000,15.780000,16.080000,41.200578,16.080000,0.012594,18870491.000000,302483853.000000,0.009119,33274673849.040001,33274673865.119999,0.000000,0.000000,23.257159,3.276296,10.595677,2.118186,15.904000,15.676000,14.975000,14.849667,14.100000,,0.522665,0.415099,0.215131,,72.032810,71.664979,72.768472,,14.874500,16.451123,13.297877,66.666667,68.055556,59.642165,60.896757,61.201532,0.036524,0.860023
sh600004,白云机场,2019-05-14,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,16.300000,16.480000,15.820000,15.880000,40.688133,15.880000,-0.038741,19333246.000000,311222836.000000,0.009343,32860809746.439999,32860809762.320000,0.000000,0.000000,22.967891,3.235546,10.463890,2.091841,15.868000,15.519000,14.874500,14.794000,14.040500,,0.510898,0.388208,0.245381,,72.016826,71.481063,73.088352,,14.793000,16.305518,13.280482,66.666667,68.055556,56.716056,59.186171,60.171138,0.039952,0.790033
sh600004,白云机场,2019-05-13,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,16.180000,16.770000,15.980000,16.520000,42.327957,16.520000,0.015990,18171010.000000,297547834.000000,0.008781,34185174874.759998,34185174891.279999,0.000000,0.000000,23.893549,3.365946,10.885609,2.176147,15.886000,15.376000,14.793000,14.751333,13.984167,20日、30日均线金叉；,0.508813,0.357535,0.302555,,76.041434,71.213182,85.697938,,14.682000,15.982633,13.381367,75.000000,68.055556,70.310118,67.898947,65.506180,0.048585,0.674618
sh600004,白云机场,2019-05-10,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.100000,16.260000,14.960000,16.260000,41.661779,16.260000,0.100135,25352225.000000,395187109.000000,0.012251,33647151541.380001,33647151557.639999,1.000000,0.000000,23.517501,3.312971,10.714286,2.141897,15.600000,15.157000,14.682000,14.683333,13.911833,1日、5日均线金叉；1日、10日均线金叉；,0.433586,0.319716,0.227740,,69.042231,68.799056,69.528580,金叉,14.592500,15.687769,13.497231,66.666667,66.666667,67.688217,66.037092,64.272912,0.087957,0.884375
sh600004,白云机场,2019-05-09,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.450000,15.840000,14.670000,14.780000,37.869686,14.780000,-0.070440,27982265.000000,422444664.000000,0.013522,30584557182.139999,30584557196.919998,0.000000,0.000000,21.376916,3.011422,9.739062,1.946940,15.396000,14.947000,14.592500,14.624000,13.843500,1日、5日均线死叉；1日、10日均线死叉；,0.357735,0.291248,0.132974,,61.190465,68.677469,46.216457,死叉,14.576500,15.673018,13.479982,66.666667,65.277778,44.395064,51.297873,55.616389,0.073585,0.953901
sh600004,白云机场,2019-05-08,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.900000,16.620000,15.530000,15.900000,40.739378,15.900000,-0.004383,31518514.000000,510146617.000000,0.015231,32902196156.700001,32902196172.599998,0.000000,0.000000,22.996818,3.239621,10.477069,2.094475,15.448000,14.882000,14.576500,14.627667,13.790500,,0.406410,0.274626,0.263567,,78.882471,72.420970,91.805473,,14.531500,15.526973,13.536027,66.666667,62.500000,81.401118,73.392671,67.472610,0.068253,1.097689
sh600004,白云机场,2019-05-07,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,15.050000,16.080000,14.750000,15.970000,40.918734,15.970000,0.058317,31652300.000000,492330263.000000,0.015296,33047048592.610001,33047048608.580002,0.000000,0.000000,23.098062,3.253884,10.523195,2.103696,15.170000,14.736000,14.531500,14.578667,13.722333,,0.348589,0.241681,0.213816,,81.806853,69.190220,107.040118,,14.480500,15.334935,13.626065,66.666667,58.333333,85.095515,75.249561,68.345277,0.088138,1.241511
sh600004,白云机场,2019-05-06,交通运输,整体上市；金融参股；QFII重仓；参股金融,广东省,14.750000,15.350000,14.300000,15.090000,38.663976,15.090000,-0.009843,26828818.000000,398880760.000000,0.012965,31226046541.169998,31226046556.259998,0.000000,0.000000,21.825282,3.074584,9.943332,1.987776,14.866000,14.557000,14.480500,14.515333,13.644667,10日、30日均线金叉；,0.262590,0.214953,0.095273,,75.292439,62.881904,100.113509,,14.461000,15.328792,13.593208,66.666667,54.166667,71.585456,65.063414,62.502415,0.068898,1.143574
