股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600007,中国国贸,2019-05-17,开发区,外资背景；QFII重仓,北京市,14.380000,14.440000,13.880000,13.910000,23.952440,13.910000,-0.032011,2043379.000000,29002578.000000,0.002029,14011300047.940001,14011300047.940001,0.000000,0.000000,18.636120,6.168906,10.885898,2.080373,14.354000,14.426000,14.510500,14.777333,14.612333,5日、10日均线死叉；,-0.125983,-0.077861,-0.096244,,30.668945,41.231299,9.544235,,14.573500,15.375092,13.771908,58.333333,52.777778,28.319115,36.327192,42.659239,0.038970,1.186707
sh600007,中国国贸,2019-05-16,开发区,外资背景；QFII重仓,北京市,14.410000,14.440000,14.240000,14.370000,24.744541,14.370000,-0.003467,1157086.000000,16608781.000000,0.001149,14474650013.580000,14474650013.580000,0.000000,0.000000,19.252412,6.372910,11.245891,2.149171,14.502000,14.494000,14.573500,14.813667,14.610500,20日、60日均线死叉；,-0.084244,-0.065830,-0.036828,,44.627270,46.512477,40.856857,死叉,14.610000,15.410224,13.809776,58.333333,50.000000,42.694329,44.610464,47.626370,0.013870,0.736513
sh600007,中国国贸,2019-05-15,开发区,外资背景；QFII重仓,北京市,14.320000,14.430000,14.210000,14.420000,24.830639,14.420000,0.002085,2075661.000000,29678256.000000,0.002061,14525014140.280001,14525014140.280001,0.000000,0.000000,19.319400,6.395084,11.285021,2.156649,14.512000,14.491000,14.610000,14.822333,14.597333,5日、60日均线死叉；,-0.076582,-0.061227,-0.030710,,48.190905,47.455080,49.662556,,14.642000,15.441517,13.842483,58.333333,47.222222,44.752011,45.647541,48.211118,0.015288,1.253995
sh600007,中国国贸,2019-05-14,开发区,外资背景；QFII重仓,北京市,14.600000,14.610000,14.010000,14.390000,24.778980,14.390000,-0.019755,2292686.000000,32634981.000000,0.002276,14494795664.260000,14494795664.260000,0.000000,0.000000,19.279207,6.381779,11.261543,2.152162,14.610000,14.472000,14.642000,14.818667,14.584000,1日、5日均线死叉；1日、10日均线死叉；1日、60日均线死叉；,-0.070779,-0.057388,-0.026782,,50.932191,47.087167,58.622239,,14.687500,15.505106,13.869894,50.000000,43.055556,43.387779,44.943586,47.842902,0.040872,1.187890
sh600007,中国国贸,2019-05-13,开发区,外资背景；QFII重仓,北京市,14.580000,14.730000,14.500000,14.680000,25.278348,14.680000,0.002048,1040640.000000,15229844.000000,0.001033,14786907599.120001,14786907599.120001,0.000000,0.000000,19.667738,6.510391,11.488496,2.195534,14.594000,14.462000,14.687500,14.822667,14.570667,5日、60日均线金叉；,-0.059288,-0.054040,-0.010496,,56.606620,45.164656,79.490550,,14.724000,15.585416,13.862584,50.000000,40.277778,54.161255,50.770299,51.216298,0.015700,0.614996
sh600007,中国国贸,2019-05-10,开发区,外资背景；QFII重仓,北京市,14.670000,14.800000,14.390000,14.650000,25.226689,14.650000,0.015950,1289095.000000,18859721.000000,0.001280,14756689123.100000,14756689123.100000,0.000000,0.000000,19.627546,6.497086,11.465018,2.191047,14.498000,14.444000,14.724000,14.817333,14.550667,1日、5日均线金叉；1日、10日均线金叉；1日、60日均线金叉；,-0.073286,-0.052728,-0.041117,,50.843997,39.443673,73.644644,,14.762000,15.672052,13.851948,41.666667,38.888889,53.158579,50.157540,50.872889,0.028433,0.684431
sh600007,中国国贸,2019-05-09,开发区,外资背景；QFII重仓,北京市,14.750000,14.910000,14.280000,14.420000,24.830639,14.420000,-0.032864,1578110.000000,23103723.000000,0.001567,14525014140.280001,14525014140.280001,0.000000,0.000000,19.319400,6.395084,11.285021,2.156649,14.486000,14.442000,14.762000,14.814667,14.532333,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；1日、30日均线死叉；1日、60日均线死叉；,-0.087033,-0.047588,-0.078889,,43.848412,33.743511,64.058215,,14.816500,15.784990,13.848010,41.666667,37.500000,45.549034,45.379659,48.193450,0.042254,0.761847
sh600007,中国国贸,2019-05-08,开发区,外资背景；QFII重仓,北京市,14.160000,14.970000,14.060000,14.910000,25.674398,14.910000,0.041929,3449718.000000,50054513.000000,0.003425,15018582581.940001,15018582581.940001,0.000000,0.000000,19.975884,6.612393,11.668493,2.229933,14.470000,14.469000,14.816500,14.827667,14.512333,1日、5日均线金叉；1日、10日均线金叉；1日、20日均线金叉；1日、30日均线金叉；1日、60日均线金叉；5日、10日均线金叉；20日、30日均线死叉；,-0.079894,-0.037727,-0.084334,,45.992399,28.691061,80.595075,,14.839500,15.863426,13.815574,41.666667,34.722222,64.010541,55.831560,54.232477,0.063592,1.705531
sh600007,中国国贸,2019-05-07,开发区,外资背景；QFII重仓,北京市,14.200000,14.340000,14.140000,14.310000,24.641223,14.310000,0.007746,1102986.000000,15695353.000000,0.001095,14414213061.540001,14414213061.540001,0.000000,0.000000,19.172026,6.346300,11.198936,2.140197,14.334000,14.465000,14.839500,14.822667,14.485167,10日、60日均线死叉；,-0.119512,-0.027186,-0.184652,,22.285302,20.040392,26.775121,,14.893000,15.949813,13.836187,33.333333,31.944444,38.628291,40.431742,46.342385,0.014085,0.701153
sh600007,中国国贸,2019-05-06,开发区,外资背景；QFII重仓,北京市,14.430000,14.560000,14.100000,14.200000,24.451808,14.200000,-0.026731,1997362.000000,28597727.000000,0.001983,14303411982.799999,14303411982.799999,0.000000,0.000000,19.024652,6.297517,11.112850,2.123746,14.330000,14.518000,14.893000,14.833333,14.466500,1日、5日均线死叉；1日、60日均线死叉；,-0.107249,-0.004104,-0.206289,,20.927952,18.917937,24.947984,,14.953000,16.030615,13.875385,33.333333,30.555556,31.216958,36.724128,44.666394,0.031528,1.186332
sh600007,中国国贸,2019-04-30,开发区,外资背景；QFII重仓,北京市,14.470000,14.770000,14.440000,14.590000,25.123372,14.590000,0.017434,2228954.000000,32632803.000000,0.002213,14696252171.059999,14696252171.059999,0.000000,0.000000,19.547160,6.470477,11.418062,2.182074,14.390000,14.595000,14.953000,14.837667,14.449333,1日、5日均线金叉；1日、60日均线金叉；,-0.078837,0.021682,-0.201038,,25.439548,17.912929,40.492785,金叉,14.973500,16.059182,13.887818,41.666667,30.555556,48.533454,46.036634,49.969548,0.023013,1.330593
sh600007,中国国贸,2019-04-29,开发区,外资背景；QFII重仓,北京市,14.240000,14.450000,14.140000,14.340000,24.692882,14.340000,0.007730,1334305.000000,19078686.000000,0.001325,14444431537.559999,14444431537.559999,0.000000,0.000000,19.212219,6.359605,11.222414,2.144684,14.398000,14.653000,14.973500,14.834667,14.428333,5日、60日均线死叉；,-0.081135,0.046812,-0.255894,,11.373607,14.149620,5.821583,,14.988000,16.036990,13.939010,33.333333,29.166667,26.860679,36.587888,46.033410,0.021785,0.843967
sh600007,中国国贸,2019-04-26,开发区,外资背景；QFII重仓,北京市,14.270000,14.320000,14.190000,14.230000,24.503467,14.230000,-0.004199,1201904.000000,17121423.000000,0.001193,14333630458.820000,14333630458.820000,0.000000,0.000000,19.064845,6.310821,11.136328,2.128232,14.468000,14.729000,14.988000,14.833333,14.412667,,-0.057434,0.078798,-0.272464,,8.364759,15.537626,-5.980975,,14.992000,15.989288,13.994712,25.000000,29.166667,13.505510,31.769309,44.181662,0.009097,0.767063
sh600007,中国国贸,2019-04-25,开发区,外资背景；QFII重仓,北京市,14.520000,14.600000,14.250000,14.290000,24.606784,14.290000,-0.014483,1655700.000000,23904644.000000,0.001644,14394067410.860001,14394067410.860001,0.000000,0.000000,19.145230,6.337431,11.183284,2.137206,14.596000,14.812000,14.992000,14.832000,14.398500,1日、60日均线死叉；10日、30日均线死叉；,-0.015147,0.112856,-0.256007,,10.728956,19.124059,-6.061249,,15.003000,15.949623,14.056377,25.000000,30.555556,14.727921,33.024029,44.988589,0.024138,1.063216
sh600007,中国国贸,2019-04-24,开发区,外资背景；QFII重仓,北京市,14.630000,14.700000,14.400000,14.500000,24.968396,14.500000,-0.008886,1954928.000000,28320619.000000,0.001941,14605596743.000000,14605596743.000000,0.000000,0.000000,19.426581,6.430563,11.347629,2.168613,14.706000,14.913000,15.003000,14.840000,14.385333,,0.032938,0.144857,-0.223840,,14.206642,23.321611,-4.023295,,15.004000,15.923513,14.084487,25.000000,33.333333,20.010582,37.815747,47.924442,0.020506,1.249847
sh600007,中国国贸,2019-04-23,开发区,外资背景；QFII重仓,北京市,14.700000,14.750000,14.560000,14.630000,25.192250,14.630000,-0.004084,1758119.000000,25765438.000000,0.001745,14736543472.420000,14736543472.420000,0.000000,0.000000,19.600750,6.488216,11.449366,2.188056,14.800000,15.004000,15.004000,14.834333,14.367833,5日、30日均线死叉；10日、20日均线死叉；,0.072450,0.172837,-0.200775,,15.875181,27.879095,-8.132648,,15.001000,15.905439,14.096561,33.333333,37.500000,24.553918,41.208766,49.854530,0.012934,1.070318
sh600007,中国国贸,2019-04-22,开发区,外资背景；QFII重仓,北京市,14.870000,14.940000,14.640000,14.690000,25.295568,14.690000,-0.012105,1263800.000000,18696376.000000,0.001255,14796980424.459999,14796980424.459999,0.000000,0.000000,19.681136,6.514826,11.496322,2.197030,14.908000,15.082000,15.001000,14.823333,14.348167,1日、30日均线死叉；,0.108592,0.197934,-0.178684,,20.166938,33.881052,-7.261291,,15.007000,15.910366,14.103634,33.333333,38.888889,26.903263,42.834800,50.758711,0.020175,0.746353
sh600007,中国国贸,2019-04-19,开发区,外资背景；QFII重仓,北京市,14.850000,14.900000,14.700000,14.870000,25.605520,14.870000,0.002022,1153738.000000,17074147.000000,0.001145,14978291280.580000,14978291280.580000,0.000000,0.000000,19.922294,6.594653,11.637189,2.223950,14.990000,15.164000,15.007000,14.802000,14.327833,5日、20日均线死叉；,0.147034,0.220270,-0.146471,,27.409498,40.738109,0.752274,,15.001500,15.911943,14.091057,33.333333,38.888889,35.361932,48.048589,53.550970,0.013477,0.637061
sh600007,中国国贸,2019-04-18,开发区,外资背景；QFII重仓,北京市,14.900000,14.980000,14.810000,14.840000,25.553861,14.840000,-0.008684,1690086.000000,25178878.000000,0.001678,14948072804.559999,14948072804.559999,0.000000,0.000000,19.882101,6.581349,11.613711,2.219464,15.028000,15.214000,15.001500,14.798667,14.303000,,0.175634,0.238579,-0.125889,,31.114246,47.402415,-1.462091,,14.991000,15.903014,14.078986,33.333333,38.888889,32.410421,47.064201,53.139233,0.011356,0.782286
sh600007,中国国贸,2019-04-17,开发区,外资背景；QFII重仓,北京市,15.180000,15.290000,14.900000,14.970000,25.777716,14.970000,-0.013184,2347325.000000,35235027.000000,0.002330,15079019533.980000,15079019533.980000,0.000000,0.000000,20.056270,6.639002,11.715448,2.238906,15.120000,15.268000,14.991000,14.797333,14.279667,1日、20日均线死叉；,0.212637,0.254315,-0.083355,,42.454502,55.546500,16.270507,,14.959000,15.871387,14.046613,41.666667,38.888889,38.809806,50.894888,55.170121,0.025709,1.112336
sh600007,中国国贸,2019-04-16,开发区,外资背景；QFII重仓,北京市,15.050000,15.230000,14.770000,15.170000,26.122108,15.170000,0.004636,2011559.000000,30059876.000000,0.001997,15280476040.780001,15280476040.780001,0.000000,0.000000,20.324223,6.727699,11.871967,2.268818,15.208000,15.311000,14.959000,14.791667,14.253500,,0.243538,0.264734,-0.042391,,51.633560,62.092498,30.715684,,14.925500,15.834927,14.016073,50.000000,38.888889,51.963890,57.494362,58.464439,0.030464,0.976324
sh600007,中国国贸,2019-04-15,开发区,外资背景；QFII重仓,北京市,15.190000,15.310000,15.030000,15.100000,26.001571,15.100000,0.002656,1852450.000000,28087597.000000,0.001839,15209966263.400000,15209966263.400000,0.000000,0.000000,20.230439,6.696655,11.817186,2.258349,15.256000,15.294000,14.925500,14.785667,14.224000,5日、10日均线死叉；,0.259073,0.270033,-0.021920,死叉,53.353955,67.321967,25.417930,,14.885500,15.791689,13.979311,41.666667,38.888889,46.694263,55.649282,57.615546,0.018592,0.934925
sh600007,中国国贸,2019-04-12,开发区,外资背景；QFII重仓,北京市,15.230000,15.320000,14.910000,15.060000,25.932692,15.060000,-0.015686,2900800.000000,43733580.000000,0.002880,15169674962.040001,15169674962.040001,0.000000,0.000000,20.176849,6.678916,11.785882,2.252367,15.338000,15.247000,14.885500,14.764667,14.195333,1日、10日均线死叉；,0.282260,0.272773,0.018974,,66.873038,74.305973,52.007166,死叉,14.842000,15.746078,13.937922,33.333333,40.277778,43.756155,54.617396,57.135806,0.026797,1.375775
sh600007,中国国贸,2019-04-11,开发区,外资背景；QFII重仓,北京市,15.460000,15.520000,15.160000,15.300000,26.345962,15.300000,-0.007138,1439200.000000,22034560.000000,0.001429,15411422770.200001,15411422770.200001,0.000000,0.000000,20.498392,6.785353,11.973705,2.288261,15.400000,15.172000,14.842000,14.743333,14.164333,,0.311822,0.270401,0.082841,,79.435770,78.022441,82.262427,,14.803500,15.691831,13.915169,33.333333,43.055556,60.402491,62.632165,61.113237,0.023361,0.698741
sh600007,中国国贸,2019-04-10,开发区,外资背景；QFII重仓,北京市,15.400000,15.510000,15.070000,15.410000,26.535378,15.410000,0.000000,2097688.000000,32128947.000000,0.002083,15522223848.940001,15522223848.940001,0.000000,0.000000,20.645766,6.834136,12.059790,2.304713,15.416000,15.093000,14.803500,14.716000,14.132500,,0.320582,0.260046,0.121071,,81.567448,77.315777,90.070790,,14.749500,15.596814,13.902186,33.333333,47.222222,70.671374,66.747326,63.040824,0.028553,0.893785
sh600007,中国国贸,2019-04-09,开发区,外资背景；QFII重仓,北京市,15.500000,15.550000,15.320000,15.410000,26.535378,15.410000,-0.006447,1616806.000000,24936329.000000,0.001605,15522223848.940001,15522223848.940001,0.000000,0.000000,20.645766,6.834136,12.059790,2.304713,15.414000,15.004000,14.749500,14.682000,14.099000,1日、5日均线死叉；,0.315900,0.244912,0.141975,,80.971862,75.189942,92.535702,,14.694000,15.490016,13.897984,41.666667,51.388889,70.671374,66.747326,63.040824,0.014829,0.560680
sh600007,中国国贸,2019-04-08,开发区,外资背景；QFII重仓,北京市,15.480000,15.600000,15.250000,15.510000,26.707573,15.510000,0.009109,2487924.000000,38381307.000000,0.002470,15622952102.340000,15622952102.340000,0.000000,0.000000,20.779743,6.878485,12.138050,2.319669,15.332000,14.920000,14.694000,14.650000,14.063500,,0.305328,0.227165,0.156326,,80.078482,72.298982,95.637483,,14.621000,15.329608,13.912392,50.000000,52.777778,79.168359,70.274418,64.745852,0.022772,0.725621
sh600007,中国国贸,2019-04-04,开发区,外资背景；QFII重仓,北京市,15.390000,15.540000,15.270000,15.370000,26.466499,15.370000,-0.000650,2656899.000000,40912185.000000,0.002638,15481932547.580000,15481932547.580000,0.000000,0.000000,20.592176,6.816397,12.028486,2.298730,15.156000,14.850000,14.621000,14.598000,14.024667,,0.277213,0.207624,0.139177,,75.290137,68.409231,89.051948,,14.591000,15.283705,13.898295,50.000000,52.777778,75.769525,68.111947,63.418406,0.017555,0.759223
sh600007,中国国贸,2019-04-03,开发区,外资背景；QFII重仓,北京市,15.360000,15.470000,15.220000,15.380000,26.483719,15.380000,-0.001299,2875539.000000,44077847.000000,0.002855,15492005372.920000,15492005372.920000,0.000000,0.000000,20.605573,6.820832,12.036312,2.300226,14.944000,14.789000,14.591000,14.549000,13.984333,,0.251550,0.190227,0.122645,,72.935205,64.968778,88.868060,,14.562000,15.251537,13.872463,50.000000,54.166667,76.512595,68.437934,63.582288,0.016234,0.875609
sh600007,中国国贸,2019-04-02,开发区,外资背景；QFII重仓,北京市,15.000000,15.660000,14.900000,15.400000,26.518158,15.400000,0.026667,4781086.000000,73370198.000000,0.004747,15512151023.600000,15512151023.600000,0.000000,0.000000,20.632369,6.829701,12.051964,2.303217,14.770000,14.714000,14.562000,14.499333,13.944000,5日、10日均线金叉；,0.214117,0.174897,0.078440,金叉,69.057981,60.985565,85.202812,,14.532000,15.225821,13.838179,58.333333,56.944444,77.783973,69.043753,63.898774,0.050667,1.507233
