指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,1992-10-30,676.470000,507.250000,447.930000,713.770000,2046371000.000000,2284828700.000000,-0.277751
sh000001,1992-11-30,471.180000,724.600000,386.850000,752.320000,3251862000.000000,2828512000.000000,0.428487
sh000001,1992-12-31,718.990000,780.390000,592.780000,841.020000,4761674000.000000,6243352300.000000,0.076994
sh000001,1993-01-29,784.130000,1198.480000,777.160000,1198.480000,7341654000.000000,10939464200.000000,0.535745
sh000001,1993-02-26,1242.350000,1339.880000,1196.470000,1558.950000,12275779000.000000,25758735000.000000,0.117983
sh000001,1993-03-31,1328.220000,925.910000,913.740000,1339.100000,7621896000.000000,14357653900.000000,-0.308961
sh000001,1993-04-30,921.590000,1358.780000,915.590000,1392.620000,12998694000.000000,25097061400.000000,0.467508
sh000001,1993-05-31,1365.150000,935.480000,930.640000,1380.500000,6612356000.000000,11773930900.000000,-0.311529
sh000001,1993-06-30,935.900000,1007.050000,859.480000,1177.910000,9065218000.000000,15286888500.000000,0.076506
sh000001,1993-07-30,1000.800000,881.070000,777.730000,1009.890000,6560435000.000000,7907250600.000000,-0.125098
sh000001,1993-08-31,885.310000,895.680000,823.000000,1042.470000,14976937000.000000,17884597700.000000,0.016582
sh000001,1993-09-30,898.010000,890.270000,864.380000,947.530000,6194908000.000000,6851452600.000000,-0.006040
sh000001,1993-10-29,895.690000,814.820000,774.540000,934.400000,15145361000.000000,23417573900.000000,-0.084750
sh000001,1993-11-30,801.860000,984.930000,793.320000,1011.760000,26927669000.000000,37241093100.000000,0.208770
sh000001,1993-12-31,993.670000,833.800000,750.460000,1044.850000,28186649000.000000,37537859400.000000,-0.153442
sh000001,1994-01-31,837.700000,770.250000,760.780000,907.090000,2424543900.000000,23596866200.000000,-0.076217
sh000001,1994-02-28,770.250000,770.980000,749.630000,818.570000,1506898800.000000,15446146200.000000,0.000948
sh000001,1994-03-31,771.520000,704.460000,694.030000,807.520000,5354089200.000000,58244001000.000000,-0.086280
sh000001,1994-04-29,704.930000,592.560000,536.340000,705.410000,3931438700.000000,30974800500.000000,-0.158845
sh000001,1994-05-31,593.940000,556.260000,537.780000,620.940000,4194462000.000000,22551925900.000000,-0.061260
sh000001,1994-06-30,554.080000,469.290000,458.740000,556.900000,2119220700.000000,10415847200.000000,-0.156348
sh000001,1994-07-29,469.270000,333.920000,325.890000,469.430000,1542891400.000000,7623578800.000000,-0.288457
sh000001,1994-08-31,394.870000,785.330000,377.970000,787.220000,20732204600.000000,148454354100.000000,1.351851
sh000001,1994-09-30,785.610000,791.150000,785.560000,1052.940000,14875312400.000000,150717360800.000000,0.007411
sh000001,1994-10-31,770.900000,654.980000,546.790000,794.850000,6557713000.000000,55868891400.000000,-0.172117
sh000001,1994-11-30,667.660000,683.590000,648.680000,743.220000,3238673600.000000,29541032400.000000,0.043681
sh000001,1994-12-30,684.020000,647.870000,620.470000,695.220000,2163404100.000000,20072600700.000000,-0.052254
